title,start,end,all_day,venue,city,address,price,age,category,description,organizer,source_url,tags,recurrence_note
A Ciência da Pixar — Exposição,10/11/2024,9/14/2025,TRUE,Pavilhão do Conhecimento – Ciência Viva,Lisboa,unknown,Museum admission fees,Para todas as idades,Exhibition • Family,Exposição sobre a ciência por detrás dos filmes Pixar. Horário: Ter–Sex 10h–18h; Fim de semana/feriados 10h–19h.,unknown,,"Pixar, cinema, ciência",Em exibição contínua até 14/09/2025
Conta-me a História – Visitas Encenadas «Trabalho e Lazer na Quinta do Marquês»,2025-08-24T11:00,2025-08-24T12:30,FALSE,Jardins do Palácio do Marquês de Pombal,Oeiras,unknown,5 €,M/6,Guided Tour • Theatre • History,Visita encenada ao século XVIII com personagens históricas no Palácio do Marquês de Pombal.,unknown,,"história, visita encenada",Sessões mensais — várias datas em 2025
Almada em Forma 2025,4/1/2025,10/31/2025,TRUE,Vários locais,Almada,unknown,Gratuito,Atividades para diferentes idades,Sport • Wellness • Outdoor,"Programa municipal de atividades físicas ao ar livre: Yoga, Pilates, Chi Kung, Dança, etc.",Município de Almada,,,Atividades variam por data — cf. programa
Amadora Ativa 2025,4/25/2025,9/27/2025,TRUE,Parques da Amadora,Amadora,unknown,Gratuito,Para todas as idades,Sport • Family • Outdoor,Programa municipal com atividades físico-desportivas e recreativas em parques da cidade.,Município da Amadora,,,Horários variam — cf. programa
Somersby Out Jazz 2025 — Domingo,2025-08-24T17:00,2025-08-24T17:00,FALSE,Vários locais no concelho de Oeiras,Oeiras,unknown,Gratuito,Para todas as idades,Music • Outdoor • Festival,Concerto de jazz/soul/funk ao ar livre ao final da tarde.,Somersby / Câmara Municipal de Oeiras,,,Todos os domingos até 28/09 — cf. programa
Somersby Out Jazz 2025 — Domingo,2025-08-31T17:00,2025-08-31T17:00,FALSE,Vários locais no concelho de Oeiras,Oeiras,unknown,Gratuito,Para todas as idades,Music • Outdoor • Festival,Concerto de jazz/soul/funk ao ar livre ao final da tarde.,Somersby / Câmara Municipal de Oeiras,,,Todos os domingos até 28/09 — cf. programa
Somersby Out Jazz 2025 — Domingo,2025-09-07T17:00,2025-09-07T17:00,FALSE,Vários locais no concelho de Oeiras,Oeiras,unknown,Gratuito,Para todas as idades,Music • Outdoor • Festival,Concerto de jazz/soul/funk ao ar livre ao final da tarde.,Somersby / Câmara Municipal de Oeiras,,,Todos os domingos até 28/09 — cf. programa
Não Acordes o Dragão — Oficina de Circuitos Elétricos,6/8/2025,12/21/2025,TRUE,MAAT Central,Lisboa,unknown,11 € (descontos disponíveis),M/6,Workshop • Science • Family,Oficina prática para construir um circuito elétrico simples e brincar com energia elétrica.,unknown,,"ciência, oficina, família",Datas específicas — verificar agenda do MAAT
Morcegos no Castelo — Passeio Noturno,2025-08-29T20:30,2025-08-29T22:30,FALSE,Castelo de São Jorge,Lisboa,unknown,5 € – 10 €,M/5,Nature • Science • Night,Passeio noturno com biólogos e detetores de ultrassons para observar e identificar morcegos.,unknown,,"morcegos, ciência, natureza",Sessões semanais até 04/10/2025
Morcegos no Castelo — Passeio Noturno,2025-09-06T20:30,2025-09-06T22:30,FALSE,Castelo de São Jorge,Lisboa,unknown,5 € – 10 €,M/5,Nature • Science • Night,Passeio noturno com biólogos e detetores de ultrassons para observar e identificar morcegos.,unknown,,"morcegos, ciência, natureza",Sessões semanais até 04/10/2025
Invasão dos Gigantes — Exposição LEGO®,6/21/2025,9/28/2025,TRUE,Cordoaria Nacional,Lisboa,unknown,"9,90 € – 18,75 € (≤95 cm grátis)",Para todas as idades,Exhibition • Family,"Exposição com mais de 10 milhões de peças LEGO®, incluindo modelos gigantes. Aberto diariamente 10h–21h.",unknown,,"lego, exposição, família",Em exibição contínua até 28/09/2025
A Espada do Rei Artur — Teatro ao Ar Livre,2025-09-06T17:00,2025-09-06T17:50,FALSE,Boutique da Cultura,Lisboa,unknown,10 €,M/6,Theatre • Family • Outdoor,"Versão divertida da lenda do Rei Artur, com Merlim, dragão vegano e aventuras.",unknown,,"teatro, família, lenda",Espetáculos aos sábados até 20/09 (exceto agosto)
Passeio no Galeão do Sal «Estou Para Ver»,8/28/2025,8/28/2025,TRUE,Marina de Cascais,Cascais,unknown,Gratuito,≥ 12 kg (peso mínimo),Boat Tour • Heritage • Outdoor,"Passeio de barco à vela rumo ao Farol da Guia ou Praia das Avencas, com participação nas manobras.",unknown,,"cascais, barco, tradição",Datas específicas — cf. programa
Passeio no Galeão do Sal «Estou Para Ver»,8/30/2025,8/30/2025,TRUE,Marina de Cascais,Cascais,unknown,Gratuito,≥ 12 kg (peso mínimo),Boat Tour • Heritage • Outdoor,"Passeio de barco à vela rumo ao Farol da Guia ou Praia das Avencas, com participação nas manobras.",unknown,,"cascais, barco, tradição",Datas específicas — cf. programa
Passeio no Galeão do Sal «Estou Para Ver»,8/31/2025,8/31/2025,TRUE,Marina de Cascais,Cascais,unknown,Gratuito,≥ 12 kg (peso mínimo),Boat Tour • Heritage • Outdoor,"Passeio de barco à vela rumo ao Farol da Guia ou Praia das Avencas, com participação nas manobras.",unknown,,"cascais, barco, tradição",Datas específicas — cf. programa
Passeio no Galeão do Sal «Estou Para Ver»,9/6/2025,9/6/2025,TRUE,Marina de Cascais,Cascais,unknown,Gratuito,≥ 12 kg (peso mínimo),Boat Tour • Heritage • Outdoor,"Passeio de barco à vela rumo ao Farol da Guia ou Praia das Avencas, com participação nas manobras.",unknown,,"cascais, barco, tradição",Datas específicas — cf. programa
Passeio no Galeão do Sal «Estou Para Ver»,9/7/2025,9/7/2025,TRUE,Marina de Cascais,Cascais,unknown,Gratuito,≥ 12 kg (peso mínimo),Boat Tour • Heritage • Outdoor,"Passeio de barco à vela rumo ao Farol da Guia ou Praia das Avencas, com participação nas manobras.",unknown,,"cascais, barco, tradição",Datas específicas — cf. programa
JASON TESTl «Estou Para Ver»,9/7/2025,9/7/2025,TRUE,Marina de Cascais,Cascais,unknown,Gratuito,≥ 12 kg (peso mínimo),Boat Tour • Heritage • Outdoor,"Passeio de barco à vela rumo ao Farol da Guia ou Praia das Avencas, com participação nas manobras.",unknown,,"cascais, barco, tradição",Datas específicas — cf. programa
Operafest Lisboa Oeiras: La Traviata & Cine-Opera,9/1/2025,9/16/2025,TRUE,,Oeiras,"Convento da Cartuxa, Caxias, Portugal",unknown,unknown,Opera,"Verdi’s La Traviata, opera in 3 acts, sung in Italian",Operafest Lisboa / Ópera do Castelo (Artistic Director Catarina Molder),https://www.operafestlisboa.com/pt/,,
Prisma Estúdio Jam Session (collective music),9/2/2025,9/2/2025,TRUE,,,"Rua da Palma 268, 1100-089 Lisboa, Portugal",€15.00,unknown,Music,Jam Session open to any style of music with free creation and support for participants.,Prisma Estúdio Lisboa,https://prismalx.com/en/events/prisma-jam-session-2/,,
La La Land @ Igreja da Graça,9/2/2025,9/2/2025,TRUE,Igreja da Graça,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://tickets.theblackcatcinema.com/events/blackcatcinema/1749391,,
“8 ½” (Federico Fellini) – Ciclo Os Anos de Ouro do Cinema Italiano,9/3/2025,9/3/2025,TRUE,Cinema Medeia Nimas,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://medeiafilmes.com/cinemas/cinema-medeia-nimas,,
Open Mic Night at Fable Bookstore,9/4/2025,9/4/2025,TRUE,Fable Lisbon Bookshop & Cafe,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/fable-lisbon-bookshop-cafe-events-workshops/events/mvxsstyhcmbgb/,,
Chantal Akerman Film Retrospective – Cinemateca Portuguesa,9/4/2025,9/10/2025,TRUE,Cinemateca Portuguesa,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://www.cinemateca.pt/programacao.aspx?ciclo=1905,,
Palms Pizzeria x Tricky’s – Collab Night,9/5/2025,9/5/2025,TRUE,,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://www.instagram.com/palmslisboa/,,
Traditional Vinyasa Yoga at Jardim do Torel,9/5/2025,9/5/2025,TRUE,Jardim do Torel,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/traditional-yoga/events/jbzqrtyhcmbhb/,,
Community Meetup at Nata Wine Bar,9/5/2025,9/5/2025,TRUE,Nata Wine Bar,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.instagram.com/nata_winebar/?hl=fr,,
Doma Club Launch Party,9/5/2025,9/5/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://doma.pt/events/doma-club-launch-party,,
YARD: One Last Summer Dance ’25,9/5/2025,9/7/2025,TRUE,,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://shotgun.live/pt-pt/events/yardonelastsummerdance,,
Affogato Pop-Up + DJ Set at Casa Casa,9/6/2025,9/6/2025,TRUE,Casa Casa,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.instagram.com/reel/DN-cHpnDHjT/,,
Sketching & Painting Session (Lisbon Creative Collective Meetup),9/6/2025,9/6/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/lisbon-painting-meetup/events/310563152/,,
Morning Surf Session in Costa da Caparica (with transport),9/6/2025,9/6/2025,TRUE,,Costa da Caparica,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/soulsurf-portugal/events/310763330/,,
Singles Hike & Picnic (Lisbon Outdoors),9/7/2025,9/7/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.eventbrite.com/e/singles-hike-pinic-tickets-1626432004909?aff=ebdssbdestsearch&keep_tld=1&utm_source=chatgpt.com,,
Soul Profile Readings at The Little Yoga Space (inner-healing circle),9/7/2025,9/7/2025,TRUE,The Little Yoga Space,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://www.instagram.com/littleyogaspacelisboa/,,
Parasite @ Palácio do Grilo,9/8/2025,9/8/2025,TRUE,Palácio do Grilo,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://tickets.theblackcatcinema.com/events/blackcatcinema/1749986,,
Level 2 Watercolor Painting Course at ArtZone Studio,9/8/2025,9/8/2025,TRUE,ArtZone Studio,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/artzone-creative-courses/events/310601441/,,
Prisma Estúdio Jam Session (collective music),9/9/2025,9/9/2025,TRUE,,,"Rua da Palma 268, 1100-089 Lisboa, Portugal",€15.00,unknown,Music,Jam Session open to any style of music with free creation and support for participants.,Prisma Estúdio Lisboa,https://prismalx.com/en/events/prisma-jam-session-2/,,
Battleship Potemkin (1925) Screening at Good Company Bookstore,9/10/2025,9/10/2025,TRUE,Good Company Bookstore,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://goodcompanybooks.com/events/classics-film-night-w-curious-monkey-film-club-3,,
Open Air Cinema “Grease” – at Capitólio Rooftop,9/11/2025,9/11/2025,TRUE,Capitólio Rooftop,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://lisboasecreta.co/en/open-air-cinemas-in-lisbon/,,
Brasil Origem Week – Cultural & gastronomic fair at Pátio da Galé,9/11/2025,9/14/2025,TRUE,Pátio da Galé,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://brasilorigemweek.com/,,
Minimalist Painting Workshop at Meet Art Studio,9/12/2025,9/12/2025,TRUE,Meet Art Studio,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/meetartstudio/events/310611751/,,
Portas do Mar Waterfront Music,9/12/2025,9/12/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.agendalx.pt/events/event/festival-portas-do-mar-2/,,
Summer Night Market: Night Stories LX,9/13/2025,9/20/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://shotgun.live/pt-pt/events/night-stories-summer-block-party,,
LUMINA Light Festival (nighttime art installations in Cascais),9/13/2025,9/13/2025,TRUE,,Cascais,unknown,unknown,unknown,unknown,unknown,unknown,https://www.visitlisboa.com/en/events/lumina-festival-of-light,,
Art Performance in Jardim Gulbenkian,9/13/2025,9/13/2025,TRUE,Jardim Gulbenkian,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://gulbenkian.pt/agenda/o-jardim-performativo-de-rosana-antoli/,,
Nurturing Sunday – Nature & Inner-Child Walk (Soul Circle Lisbon),9/14/2025,9/14/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/soulcirclelisbon/,,
Basic Drawing Course Level 2 at ArtZone,9/14/2025,9/14/2025,TRUE,ArtZone,,unknown,unknown,unknown,unknown,unknown,unknown,https://artzone-global.com/drawing-course,,
Black Coffee at Lisbon Open Air 2025,9/14/2025,9/14/2025,TRUE,,,"Parque Papa Francisco – Bobadela, Loures, Portugal",€30–100,18+,Music Festival,Grammy-winning South African DJ Black Coffee performing Afro-House at Lisbon Open Air 2025.,Desert Rain Agency,https://shotgun.live/en/festivals/black-coffee-lisbon-2025,,
“Dançar a Cidade” – Belly Dancing & Bollywood at Jardim da Cerca da Graça,9/15/2025,9/15/2025,TRUE,Jardim da Cerca da Graça,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://www.lisbonguru.com/lisboa-na-rua-comout-lisbon-outdoor-events-before-the-summer-ends/,,
Abstract Doodle Workshop at Meet Art Studio,9/16/2025,9/16/2025,TRUE,Meet Art Studio,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/meetartstudio/events/307600400/,,
Lisbon Theatre Meetup – Social Dinner Gathering,9/17/2025,9/17/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/lisbon-theatre-meetup-group/events/310648920/?eventOrigin=group_upcoming_events,,
"LIKE Lisbon Kizomba Festival (dance & workshops, Costa da Caparica)",9/19/2025,9/19/2025,TRUE,,Costa da Caparica,unknown,unknown,unknown,unknown,unknown,unknown,https://kizomba-world.com/event/like-lisbon-2025/,,
Queer Lisboa Film Festival,9/19/2025,9/19/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://queerlisboa.pt/en/,,
"Marvila Medieval Fair – Medieval street theater, jousts, circus, falconry at Parque Urbano do Vale Fundão",9/19/2025,9/21/2025,TRUE,Parque Urbano do Vale Fundão,Lisboa,unknown,unknown,unknown,unknown,unknown,unknown,https://www.facebook.com/freguesiamarvila/posts/feira-medieval-de-marvila-19-a-21-de-setembro-de-2025parque-urbano-do-vale-fund%C3%A3/1100634935550699/,,
Sketching & Painting Session (Lisbon Creative Collective Meetup),9/20/2025,9/20/2025,TRUE,,,unknown,unknown,unknown,unknown,unknown,unknown,https://www.meetup.com/lisbon-painting-meetup/,,
