"source","source_id","original_title","resolved_title","starts_at","start_time","ends_at","end_time","venue_name","location_name","address","city","price","currency","image_url","canonical_url","ticket_url","source_notes","query_title","chosen_url","enrich_ok","needs_review","candidate_score","candidate_reasons"
"lisboa_secreta","womens-day-what-to-do-in-lisbon","The “Queens’ Treasure” and a tour through the streets of Lisbon: experiences to mark International Women’s Day","Candlelight: The Best of Bridgerton on Strings in Lisbon","","","","","Aula Magna","Aula Magna","","Lisbon","","","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2024/09/31143311/CR-CDL-SMN-Bridgerton25-B3-Static-P02-16x9-ALL_ipydku-4.jpg","https://lisboasecreta.co/en/tickets-lisbon-bridgerton-2026-classical-concert-candlelight/","https://feverup.com/m/484609","Page is about a Bridgerton-themed classical concert event in Lisbon; no specific dates or times given.","The “Queens’ Treasure” and a tour through the streets of Lisbon: experiences to mark International Women’s Day","https://lisboasecreta.co/en/tickets-lisbon-bridgerton-2026-classical-concert-candlelight/","true","true","4","has_title | title_event_pattern:/\btour\b/i | source_lisboa_secreta_mixed"
"visitlisboa","en/events/jethro-tull-26","Jethro Tull","JETHRO TULL","2026-03-13","21:00","2026-03-13","21:00","Coliseu de Lisboa","Coliseu de Lisboa","Rua das Portas de Santo Antão, 96, 1150-269 Lisboa","Lisboa","35","EUR","https://bolimg.blob.core.windows.net/producao/imagens/espectaculos/cartaz142543.jpg?v=2","https://www.bol.pt/Comprar/Bilhetes/166083-jethro_tull-coliseu_de_lisboa/","https://www.bol.pt/Comprar/Bilhetes/166083-jethro_tull-coliseu_de_lisboa/","Data and details extracted from official ticket page bol.pt","Jethro Tull","https://www.bol.pt/Comprar/Bilhetes/166083-jethro_tull-coliseu_de_lisboa/","true","true","8","has_title | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
"visitlisboa","en/events/festival-criasons_","Festival CriaSons","Festival Criasons","2026-01-10","","2026-03-28","","vários locais","vários locais","","Lisbon","gratuito","","https://www.agendalx.pt/content/uploads/2025/12/Foto-de-Patricia-Santos-Pinto-I-1-1600x1067-1.jpg","https://www.agendalx.pt/events/event/festival-criasons-3/","https://musicamera.pt/festival-criasons-regressa-com-edicao-dedicada-a-musica-e-literatura/","Event spans multiple venues in Lisbon; official program link provided","Festival CriaSons","https://www.agendalx.pt/events/event/festival-criasons-3/","true","true","12","has_title | title_event_pattern:/\bfestival\b/i | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
"visitlisboa","en/events/tide-line-cam-s-collection","Tide Line. CAM’s Collection","Tide Line. CAM’s Collection","2024-09-21","10:00","2026-05-11","18:00","CAM – Centro de Arte Moderna Gulbenkian","CAM – Centro de Arte Moderna Gulbenkian","Rua Marquês de Fronteira, 2, 1070-295, Lisboa","Lisboa","","","https://visit-lisboa.eu-west-1.elasticbeanstalk.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MjI1NzgsInB1ciI6ImJsb2JfaWQifX0=--24bbedc866eb8b8cf83805b707034315292bde3d/Tide-monica-miranda.jpg","https://www.visitlisboa.com/en/events/tide-line-cam-s-collection","","Event details extracted from visitlisboa.com event page and embedded JSON-LD data","Tide Line. CAM’s Collection","https://www.visitlisboa.com/en/events/tide-line-cam-s-collection","true","true","8","has_title | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
"visitlisboa","en/events/camoes-epic-lyrical-universal","Camões: epic, lyrical, universal.","Camões: epic, lyrical, universal.","2024-11-09","","2026-06-27","","","","","Lisbon","Free Entry","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzU3MTYsInB1ciI6ImJsb2JfaWQifX0=--825b89c8f9ba571712875f078b6d2c8505316f77/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/visit-lisboa-Destino-Camoes-epico-lirico-universal.jpg","https://www.visitlisboa.com/en/events/camoes-epic-lyrical-universal","","Data extracted from visitlisboa.com events listing page","Camões: epic, lyrical, universal.","https://www.visitlisboa.com/en/events?q%5Bcategories_id_in%5D%5B%5D=80","true","true","8","has_title | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
"visitlisboa","en/events/museu-banksy-lisbon","Museu Banksy Lisbon","Museu Banksy Lisbon","","","","","","","Rua Viriato","Lisbon","","","https://static.wixstatic.com/media/4fc32c_1bb0382b1a3a4f1a9d62f70c8f307365~mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/4fc32c_1bb0382b1a3a4f1a9d62f70c8f307365~mv2.png","https://www.museubanksy.pt/bilhetecombinado","","Page is not about a specific event, no event details found","Museu Banksy Lisbon","https://www.museubanksy.pt/bilhetecombinado","true","true","8","has_title | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
"visitlisboa","en/events/ah-amalia-living-experience","Ah, Amália - Living Experience","Ah, Amália - Living Experience","","","","","Ah Amália - Living Experience","Ah Amália - Living Experience","Praça David Leandro da Silva, 16, Marvila, 1950-064","Lisbon","","","https://visit-lisboa.eu-west-1.elasticbeanstalk.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzUyMzQsInB1ciI6ImJsb2JfaWQifX0=--176cd1eb7d8b449165070afb9a252e3790b5d349/am%C3%A1lia_WTA_th.jpg","https://www.visitlisboa.com/en/places/ah-amalia-living-experience","","Page describes a permanent immersive exhibition experience, no specific event dates or ticket info provided.","Ah, Amália - Living Experience","https://www.visitlisboa.com/en/places/ah-amalia-living-experience","true","true","12","has_title | title_event_pattern:/\bexperience\b/i | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
"visitlisboa","en/events/benfica-handicrafts-market","Benfica Handicrafts Market","Benfica Handicrafts Market","2026-03-14","","2026-03-14","","Estrada de benfica","Estrada de benfica","Estrada de Benfica, 700, Benfica, 1500-088, Lisboa","Lisboa","Free Entry","","https://visit-lisboa.eu-west-1.elasticbeanstalk.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MjY1NTMsInB1ciI6ImJsb2JfaWQifX0=--57d5b1e990a1587bcd63f2426ec3a6829cb4eb15/Feita-de-Artesanato-de-Benfica_25.jpg","https://www.visitlisboa.com/en/events/benfica-handicrafts-market","","Event recurs on the second Saturday of every month; dates listed for 2026; no ticket URL provided; free entry.","Benfica Handicrafts Market","https://www.visitlisboa.com/en/events/benfica-handicrafts-market","true","true","12","has_title | title_event_pattern:/\bmarket\b/i | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
"visitlisboa","en/events/connections","Connections","Connect Lisboa - City Networking","2025-11-12","18:30","2025-11-12","20:30","Paços do Concelho - Câmara Municipal de Lisboa","Paços do Concelho - Câmara Municipal de Lisboa","Praça do Município, 1100-038 Lisboa","Lisboa","Free","EUR","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1163235503%2F228734359443%2F1%2Foriginal.20251027-102302?h=740&w=1200&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C4500%2C2250&s=3246e067676ff5e0a9d8fe0bf3ae719a","https://www.eventbrite.pt/e/connect-lisboa-city-networking-tickets-1895834916269","https://www.eventbrite.pt/e/connect-lisboa-city-networking-tickets-1895834916269","Eventbrite page for Connect Lisboa - City Networking event in Lisbon on 2025-11-12","Connections","https://www.eventbrite.pt/e/connect-lisboa-city-networking-tickets-1895834916269","true","true","8","has_title | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
"visitlisboa","en/events/istanbul-and-lisbon-soulmates","Istanbul and Lisbon – Soulmates","Istanbul and Lisbon – Soulmates","2025-02-28","","2026-12-31","","","","","Lisbon","","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzQ5OTQsInB1ciI6ImJsb2JfaWQifX0=--61a9d1912883d424d3625d76dfdbe61340f0d3c3/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/Istambul-e-Lisboa--Almas-Gemeas.jpg","https://www.visitlisboa.com/en/events/istanbul-and-lisbon-soulmates","","Event details extracted from visitlisboa.com events listing page","Istanbul and Lisbon – Soulmates","https://www.visitlisboa.com/en/events","true","true","8","has_title | trusted_source_visitlisboa | visitlisboa_host | event_url:/\/event/i"
