"source","source_id","original_title","resolved_title","starts_at","start_time","ends_at","end_time","venue_name","location_name","address","city","price","currency","image_url","canonical_url","ticket_url","source_notes","query_title","chosen_url","enrich_ok","needs_review","candidate_score","candidate_strong_signals","candidate_reasons"
"visitlisboa","en/events/festival-criasons_","Festival CriaSons","Festival Criasons","2026-01-10","","2026-03-28","","vários locais","vários locais","","Lisbon","gratuito","","https://www.agendalx.pt/content/uploads/2025/12/Foto-de-Patricia-Santos-Pinto-I-1-1600x1067-1.jpg","https://www.agendalx.pt/events/event/festival-criasons-3/","https://musicamera.pt/festival-criasons-regressa-com-edicao-dedicada-a-musica-e-literatura/","Event page with detailed description and official program link","Festival CriaSons","https://www.agendalx.pt/events/event/festival-criasons-3/","true","true","8","1","has_title | title_event_pattern:/\bfestival\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/benfica-handicrafts-market","Benfica Handicrafts Market","Benfica Handicrafts Market","2026-03-14","","2026-03-14","","Estrada de benfica","Estrada de benfica","Estrada de Benfica, 700, Benfica, 1500-088, Lisboa","Lisbon","Free Entry","","https://visit-lisboa.eu-west-1.elasticbeanstalk.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MjY1NTMsInB1ciI6ImJsb2JfaWQifX0=--57d5b1e990a1587bcd63f2426ec3a6829cb4eb15/Feita-de-Artesanato-de-Benfica_25.jpg","https://www.visitlisboa.com/en/events/benfica-handicrafts-market","","Event page with recurring monthly dates on 2nd Saturday, next dates listed for 2026, free entry, no ticket URL","Benfica Handicrafts Market","https://www.visitlisboa.com/en/events/benfica-handicrafts-market","true","true","8","1","has_title | title_event_pattern:/\bmarket\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/hercules-the-heroic-musical","Hercules - The Heroic Musical","Hércules - O musical heróico","2025-10-17","11:00","2026-04-26","15:00","Teatro Politeama","Teatro Politeama","Rua das Portas de Santo Antão, 109","Lisbon","","","https://www.agendalx.pt/content/uploads/2025/09/Sem-Titulo-2.png","https://www.agendalx.pt/events/event/hercules-2/","","Event details from agendalx.pt event page","Hercules - The Heroic Musical","https://www.agendalx.pt/events/event/hercules-2/","true","true","8","1","has_title | title_event_pattern:/\bmusical\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/centenary-exhibition-of-julio-pomar","Centenary exhibition of Júlio Pomar","Centenary exhibition of Júlio Pomar","2026-01-10","","2026-06-13","","CAMB - Centro de Arte Manuel de Brito","CAMB - Centro de Arte Manuel de Brito","Campo Grande, 113 A","Lisbon","","","https://www.agendalx.pt/content/uploads/2025/12/Julio-Pomar-Mojiganga-segundo-Goya-1963-oleo-sobre-tela-162-x-130-cm-scaled.jpg","https://www.agendalx.pt/events/event/centenary-exhibition-of-julio-pomar/?lang=en","","","Centenary exhibition of Júlio Pomar","https://www.agendalx.pt/events/event/centenary-exhibition-of-julio-pomar/?lang=en","true","true","8","1","has_title | title_event_pattern:/\bexhibition\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/1st-exhibition-cycle","1st Exhibition Cycle","1st Exhibition Cycle","2026-02-10","","2026-05-10","","Arpad Szenes - Vieira da Silva Foundation","Arpad Szenes - Vieira da Silva Foundation","Praça das Amoreiras, 56, 1250-020, Lisboa","Lisbon","","","https://visit-lisboa.eu-west-1.elasticbeanstalk.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzYwNDgsInB1ciI6ImJsb2JfaWQifX0=--313c3b10fe53b87fc66e63bff1bcab8503d09170/2026-visit-lisboa-arpad.jpg","https://www.visitlisboa.com/en/events/1st-exhibition-cycle","https://fasvs.pt/visitar-museu/","","1st Exhibition Cycle","https://www.visitlisboa.com/en/events/1st-exhibition-cycle","true","true","8","1","has_title | title_event_pattern:/\bexhibition\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/lx-market","Lx Market","Lx Market","2026-03-08","","2026-03-08","","Lx Factory","Lx Factory","Rua Rodrigues Faria, 103, 1300-501, Lisboa","Lisbon","Free Entry","","https://visit-lisboa.eu-west-1.elasticbeanstalk.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MjY2MTAsInB1ciI6ImJsb2JfaWQifX0=--8d7c634691a0517f141c166d3c069ba16a558d32/LX-Market-2025.jpg","https://www.visitlisboa.com/en/events/lx-market","","Event recurring every Sunday at Lx Factory; specific date example 2026-03-08; no ticket URL provided","Lx Market","https://www.visitlisboa.com/en/events/lx-market","true","true","8","1","has_title | title_event_pattern:/\bmarket\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/ccb-market","CCB Market","CCB Market","2026-04-05","","2026-04-05","","Centro Cultural de Belém","Centro Cultural de Belém","Praça do Império, 1449-003, Lisboa","Lisbon","Free entry","","https://visit-lisboa.eu-west-1.elasticbeanstalk.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6ODA5MSwicHVyIjoiYmxvYl9pZCJ9fQ==--26384d0a18bec63618134bc2b85f1add33c5998e/MERCADO-CCB.jpg","https://www.visitlisboa.com/en/events/ccb-market","","Event page from visitlisboa.com with recurring monthly dates on first Sunday","CCB Market","https://www.visitlisboa.com/en/events/ccb-market","true","true","8","1","has_title | title_event_pattern:/\bmarket\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/feira-do-relogio","Feira do Relógio","Feira do Relógio","2026-03-08","07:00","2026-12-27","","Avenida de Santo Condestável","Avenida de Santo Condestável","Avenida de Santo Condestável","Lisboa","Grátis","","https://media.timeout.com/images/105386407/image.jpg","https://www.timeout.pt/lisboa/pt/coisas-para-fazer/feira-do-relogio","","Event listing with multiple occurrences on Sundays from March to December 2026, free entry","Feira do Relógio","https://www.timeout.pt/lisboa/pt/coisas-para-fazer/feira-do-relogio","true","true","8","1","has_title | title_event_pattern:/\bfeira\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/feira-da-ladra-flea-market","Feira da Ladra (Flea Market)","Feira da Ladra (Flea Market)","","","","","","","","Lisbon","","","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzExMzEsInB1ciI6ImJsb2JfaWQifX0=--2b610dfa2a828035c0fe16e6598cb880f792495d/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/400474_25_1_feira_da_ladra.jpg","https://www.visitlisboa.com/en/events","","","Feira da Ladra (Flea Market)","","false","true","8","1","has_title | title_event_pattern:/\bmarket\b/i | source_visitlisboa | good_host"
"visitlisboa","en/events/louis-lui-sao-luiz-theatre","Louis Lui | São Luiz Theatre","Louis Lui","2026-03-06","20:00","2026-03-08","17:30","São Luiz Teatro Municipal","São Luiz Teatro Municipal","Rua António Maria Cardoso, 38","Lisbon","12 € to 15 €","EUR","https://www.agendalx.pt/content/uploads/2026/02/RIBEIRO-3JoaquimLeal_0001.jpg","https://www.agendalx.pt/events/event/louis-lui/?lang=en","","Event details extracted from agendalx.pt event page","Louis Lui | São Luiz Theatre","https://www.agendalx.pt/events/event/louis-lui/?lang=en","true","true","8","1","has_title | title_event_pattern:/\btheat(?:re|er)\b/i | source_visitlisboa | good_host"
