"title","starts_at","ends_at","date_text","location_name","address","city","url","image_url","category","audience","price","status","source","source_id","source_url","source_evidence_path","dedupe_key","possible_duplicate_of"
"Lisboa Secreta | Your Complete Guide To Things To Do In Lisbon","","","2026-03-03T16:51:47+00:00","","","","https://lisboasecreta.co/en/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","","","","approved","lisboa_secreta","","https://lisboasecreta.co/en/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/.html","2036458bb51268129a67edb47a18650990f1da91",""
"Sign in to our city guides","","","","","","","https://lisboasecreta.co/en/profile/my-profile/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/06/02053531/lisboasecreta.co-logo-768x79.png","","","","approved","lisboa_secreta","profile/my-profile","https://lisboasecreta.co/en/profile/my-profile/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/profile_my-profile.html","184605d13de9f81c0ed42609ece1c0a054181399",""
"Sign in to our city guides","","","","","","","https://lisboasecreta.co/en/profile/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/06/02053531/lisboasecreta.co-logo-768x79.png","","","","approved","lisboa_secreta","profile","https://lisboasecreta.co/en/profile/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/profile.html","58458078bae5a79c300829633f523ffb2d7d403f",""
"The top events, attractions and things to do in Lisbon","","","2026-03-05T16:43:57+00:00","","","","https://lisboasecreta.co/en/things-to-do/","https://lisboasecreta.co/wp-content/themes/secretmedianetwork/images/generic-animated-spinner.svg","","","","approved","lisboa_secreta","things-to-do","https://lisboasecreta.co/en/things-to-do/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/things-to-do.html","bdb650fbea27e5da0f09f2ad3f1852cc8304c6ac",""
"Up to the minute news and stories from Lisbon","","","2026-03-05T12:17:03+00:00","","","","https://lisboasecreta.co/en/top-news/","https://lisboasecreta.co/wp-content/themes/secretmedianetwork/images/generic-animated-spinner.svg","","","","approved","lisboa_secreta","top-news","https://lisboasecreta.co/en/top-news/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/top-news.html","66e1a7b86d8f89f4dc1d90e7d1f136b46cc44f42",""
"The best Lisbon restaurants, bars and cafés","","","2026-03-05T12:17:03+00:00","","","","https://lisboasecreta.co/en/food-drink/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","","","","approved","lisboa_secreta","food-drink","https://lisboasecreta.co/en/food-drink/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/food-drink.html","94f10cea71907081af28498f708f681f06cb2efe",""
"Lisbon culture: immersive experiences, art, cinema, theater and more","","","2026-03-05T16:43:57+00:00","","","","https://lisboasecreta.co/en/culture/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","","","","approved","lisboa_secreta","culture","https://lisboasecreta.co/en/culture/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/culture.html","aa701261942d8c7995f67be6b7f72e1f6df24d39",""
"Day trips and getaways in and around Lisbon","","","2026-03-05T12:17:03+00:00","","","","https://lisboasecreta.co/en/escapes/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","","","","approved","lisboa_secreta","escapes","https://lisboasecreta.co/en/escapes/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/escapes.html","6341b34d9be0ae8d0856964c4f5c48d99ae7cdbb",""
"Natural beauty, exercise and wildlife all on Lisbon's doorstep","","","2026-03-05T12:17:03+00:00","","","","https://lisboasecreta.co/en/wellness-nature/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","","","","approved","lisboa_secreta","wellness-nature","https://lisboasecreta.co/en/wellness-nature/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/wellness-nature.html","9050c22c0fbc0776f6982b5870c0fbfe063e33de",""
"Secret Guide to Lisbon: Discover the hidden corners of the city","","","2026-03-05T16:43:57+00:00","","","","https://lisboasecreta.co/en/secret-guides/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","","","","approved","lisboa_secreta","secret-guides","https://lisboasecreta.co/en/secret-guides/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/secret-guides.html","f3360dcd063b56a096bb0bbf27db0de2883456e5",""
"Visit Lisbon: Guide to Lisbon's Best Landmarks, Attractions, and Activities","","","2026-03-05T12:17:03+00:00","","","","https://lisboasecreta.co/en/visit-lisbon/","https://lisboasecreta.co/wp-content/themes/secretmedianetwork/images/generic-animated-spinner.svg","","","","approved","lisboa_secreta","visit-lisbon","https://lisboasecreta.co/en/visit-lisbon/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/visit-lisbon.html","180bede35f572da831775fa927912dfe59cc9b72",""
"Lisbon sports guide: teams, events and news - Lisboa Secreta","","","2026-03-05T16:43:57+00:00","","","","https://lisboasecreta.co/en/sports/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","","","","approved","lisboa_secreta","sports","https://lisboasecreta.co/en/sports/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/sports.html","7249354f3ce6abb243d52627689269db2cdd2f78",""
"Concerts, Festivals and Live Music in Lisbon | Secret Lisbon","","","2026-03-05T16:43:57+00:00","","","","https://lisboasecreta.co/en/music/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","","","","approved","lisboa_secreta","music","https://lisboasecreta.co/en/music/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/music.html","e18e58039718a0c11658a2314e287e80da47834d",""
"The “Queens’ Treasure” and a tour through the streets of Lisbon: experiences to mark International Women’s Day","","","2026-03-04T20:26:20+00:00","","","","https://lisboasecreta.co/en/womens-day-what-to-do-in-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/04201029/dia-da-mulher-imagem-generica-freepik.jpg","","","","approved","lisboa_secreta","womens-day-what-to-do-in-lisbon","https://lisboasecreta.co/en/womens-day-what-to-do-in-lisbon/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/womens-day-what-to-do-in-lisbon.html","8621dbcc5bf966c4039a506be94eb3696bb227a1",""
"The official portrait of President Marcelo Rebelo de Sousa, created by artist Vhils, has been unveiled.","","","2026-03-05T15:15:45+00:00","","","","https://lisboasecreta.co/en/official-portrait-president-republic-marcelo-rebelo-de-sousa-artist-vhils/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/05102258/retrato-oficial-do-Presidente-da-Republico-Marcelo-Rebelo-de-Sousa-criado-pelo-artista-VHILS-%C2%A9-Alexandre-Silva.jpg","","","","approved","lisboa_secreta","official-portrait-president-republic-marcelo-rebelo-de-sousa-artist-vhils","https://lisboasecreta.co/en/official-portrait-president-republic-marcelo-rebelo-de-sousa-artist-vhils/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/official-portrait-president-republic-marcelo-rebelo-de-sousa-artist-vhils.html","e39016826f846bb28136cfbda35627d215eff252",""
"An iconic seafood restaurant in Lisbon is the most booked restaurant in Portugal in 2025 — and the capital dominates The Fork’s Top 50.","","","2026-02-26T13:09:43+00:00","","","","https://lisboasecreta.co/en/most-booked-restaurants-portugal-the-fork/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/02/26125742/restaurantes-mais-reservados.jpg","","","","approved","lisboa_secreta","most-booked-restaurants-portugal-the-fork","https://lisboasecreta.co/en/most-booked-restaurants-portugal-the-fork/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/most-booked-restaurants-portugal-the-fork.html","07f996e700ea7b14f17f08d3eb1852331c442294",""
"Less crowding, more respect: the Madrid Metro has declared war on backpacks. Will Lisbon be next?","","","2026-02-25T12:33:18+00:00","","","","https://lisboasecreta.co/en/backpacks-subway-public-transport-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/02/25120252/mochilas-as-costas-dentro-das-carruagens-do-metro-%40shojol-islam-%40ummano-dias.jpg","","","","approved","lisboa_secreta","backpacks-subway-public-transport-lisbon","https://lisboasecreta.co/en/backpacks-subway-public-transport-lisbon/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/backpacks-subway-public-transport-lisbon.html","606e8f88b1a2eaf3d05c867e12130da5a5682787",""
"Music guide: the best concerts already confirmed for 2026","","","2026-03-04T11:02:21+00:00","","","","https://lisboasecreta.co/en/music-concerts-in-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/02/08092637/Estu%CC%81dio-Time-Out-recebe-concertos-tributo-a-Queen-e-Pearl-Jam-%40spencer-davis.jpg","","","","approved","lisboa_secreta","music-concerts-in-lisbon","https://lisboasecreta.co/en/music-concerts-in-lisbon/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/music-concerts-in-lisbon.html","d2aab4ca3ba41e2a50596a3e86f12a4269cafcd6",""
"Lisbon is blooming: your guide to an unforgettable weekend","","","2026-03-05T16:43:57+00:00","","","","https://lisboasecreta.co/en/what-to-do-in-lisbon-weekend/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2021/11/05112735/pessoas-a-passear-em-lisboa-fim-de-semana-%40fotios-photos.jpeg","","","","approved","lisboa_secreta","what-to-do-in-lisbon-weekend","https://lisboasecreta.co/en/what-to-do-in-lisbon-weekend/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/what-to-do-in-lisbon-weekend.html","93b77153a33948e343000b4c9704082be8b5489f",""
"Goodbye, winter: from this date onwards, you will sleep one hour less, but spend more time in the sun in Lisbon.","","","2026-03-05T12:17:03+00:00","","","","https://lisboasecreta.co/en/change-to-daylight-saving-time/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/05120612/horario-de-verao-generica.jpg","","","","approved","lisboa_secreta","change-to-daylight-saving-time","https://lisboasecreta.co/en/change-to-daylight-saving-time/","tmp/ingest/raw/2026-03-05_182305Z/lisboa_secreta/change-to-daylight-saving-time.html","d7dfa5516befd8d969d1514d73c6e1013c4855e3",""
