slug,canonical_key,title,starts_at,ends_at,location_name,address,city,url,image_url,category,audience,price,status,source,source_id,source_url,dedupe_key,description,tags,accessibility,raw_categories,raw_target_audience,raw_accessibility,latitude,longitude,venue_url,venue_contact,venue_extra_info,venue_schedule,venue_category,venue_district,venue_accessibility,venue_tags
visitas-guiadas-a-fabrica-da-eletricidade,visitas-a-fabrica-da-eletricidade-maat-museu-de-arte-arquitetura-e-tecnologia-2026-03-15,Visitas à Fábrica da Eletricidade,2026-03-15,2026-12-31,"MAAT - Museu de Arte, Arquitetura e Tecnologia","Avenida de Brasília, Central Tejo, 1300-598, Lisboa",Lisboa,https://www.agendalx.pt/wp-json/agendalx/v1/events,https://www.agendalx.pt/content/uploads/2025/04/central_tejo_72.jpg,visitas guiadas,,"a:1:{i:0;a:1:{s:11:""description"";s:70:""Visita gratuita mediante apresentação de bilhete de entrada no museu"";}}",approved,agendalx,212745,https://www.agendalx.pt/wp-json/agendalx/v1/events,90f08262098c1d454ad3bc4af0baad3c3e716dc6,"Visita que percorre vários espaços da antiga Central Tejo, central termoelétrica construída em 1908 e que abasteceu toda a região de Lisboa de eletricidade. Entre maquinaria original, em perfeito...","instalação, pintura, crianças, famílias, fotografia, gratuito, coletiva, escultura, Julião Sarmento, Lisboa Romana, luz, concurso, ilustração, cerâmica, língua gestual portuguesa, ar livre, vídeo, património, história, Lisboa, desenho, tapeçaria, botânica, Comunicação, exposição, arquitetura, Ásia, Estudos orientais, Macau, ciclo, óscares, arte deco, José de Guimarães, antecipação, antestreia, Festa do Cinema Italiano, vestuário, vidro, clássica, Brasil, Ingmar Bergman, Santo António, marionetas, MONSTRA, animação, festival, +10, Tiago P. Carvalho, Dia do Pai, ação, biografia, documentário, drama, África, descolonização, masterclasse, escolas, jovens, Amália Rodrigues, experiência imersiva, fado, vídeomapping, bailado, Mozart, all ages, bebés, Bernardo Raposo, teatro musical, um teatro em cada bairro, Dia Internacional da Mulher, seminário, teatro infantil, +4, Agustina Bessa-Luís, beatriz brás, Martim Sousa Tavares, Charlie Chaplin, cineconcerto, arte contemporânea, colonialismo, Festas de Abril, +16, comédia, José Raposo, 25 de Abril, ditadura, resistência, Carlos J. Pessoa, Eugene Ionesco, Teatro da Garagem, Marta Carreiras, Daniel Gorjão, Ibsen, Marco Martins, +12, Diogo Infante, Tchekhov, +14, Ricardo Neves-Neves, Filipe La Féria, rock, the lisbon players, Bernard-Marie Koltès, Teatro Griot, Zia Soares, Vicente Alves do Ó, design, Jean Eustache, Philippe Garrel, cartoons, primavera, arte digital, aguarela, 50 anos, Mário Soares, escrita, cinema clássico, Jean Renoir, gravura, Glória de Matos, homenagem, música portuguesa, conversas, percurso, workshop, crochet, colagem, cartão, papel, música erudita, Formiga Atómica, humor, pedro vieira, Artistas Unidos, Pedro Carraca, conversa, ambiente, cinema alemão, performance, mindfulness, Alimentação, sustentabilidade, Estados Unidos da América, Álvaro Correia, audiodescrição, MPB, Miguel Dias, azulejaria, Dia Mundial da Poesia, poesia, João Canijo, debate, saúde mental, Dia Mundial do Teatro, flávia gusmão, Jacinto Lucas Pires, Carla Maciel, Gonçalo Waddington, João Lourenço, Teatro Aberto, piano, flamenco, soul, disco, pop, gastronomia, retrospetiva, Werner Herzog, heavy metal, indie-pop, rap, eletrónica, sessão especial, encontro, Agatha Christie, aniversário, Dia Internacional das Florestas, biodiversidade, caminhada, arqueologia, órgão, cinema romeno, canção de intervenção, Franz Kafka, música do mundo, Éric Rohmer, Frederick Wiseman, Roberto Rossellini, +6, Robert Beavers, André e. Teodósio, Margarida Vila-Nova, Tiago Guedes, cinema português, Rui Pedro Tendinha, tertúlia, Maria Barroso, Martim Galamba, Sissi Martins, coros, rock alternativo, Daniel Sampaio, psicologia, Museologia, olisipografia, filosofia, pensamento, curadoria, guitarra, alternativa, Luís Vaz de Camões, Pedro Penim, Eric-Emmanuel Schmitt, Motelx, terror, gypsy jazz, bandas sonoras, bateu matou, dj set, percussão, música cabo-verdiana, artur guimarães, Rui Melo, Elmano Sancho, Mónica Calle, Lisbon Film Orchestra, Stephen Sondheim, Álvaro Cunhal, António Pires, William Shakespeare, trompete, atividades pedagógicas, +18, Companhia João Garcia Miguel, Miguel Esteves Cardoso, coletivo auéééu, Elfriede Jelinek, Joana Craveiro, Teatro do Vestido, Mário Coelho, teatro de improviso, sessão descontraída, artesanato, joalharia, moda, clube de leitura, Jon Fosse, teatro, cestaria, cianotipia, Hugo Franco, r&amp;b, ópera, transmissão em direto, Espanha, queer, Os Possessos, Ray Bradbury, música espanhola, estampas, Hélder Gamboa, Jonathan Larson, Alex Cassal, Marco Mendonça, Bolsa Amélia Rey Colaço, LGBTQI+, drag, pop/rock, Christiane Jatahy, indie, SillySeason",,"visitas guiadas, artes, cinema, ciências, música, feiras, literatura, teatro, dança, stand up comedy",,,38.695911,-9.195691,http://www.maat.pt,210 028 190,,"De quarta a segunda, das 10h às 19h",museu,alcantara,,
lisboa-secreta-what-to-do-in-lisbon-weekend,lisbon-is-buzzing-this-weekend-must-see-events-some-free-from-march-13-to-15,Lisbon is buzzing this weekend: must-see events (some free) from March 13 to 15,,,,,Lisbon,https://lisboasecreta.co/en/what-to-do-in-lisbon-weekend/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2021/11/13113835/mulher-num-miradouro-em-lisboa-fim-de-semana-%40paulo-evangelista.jpeg,,,,approved,lisboa_secreta,what-to-do-in-lisbon-weekend,https://lisboasecreta.co/en/what-to-do-in-lisbon-weekend/,256c8202950f1a7f74e275913c8181ab32effce8,"Here are our suggestions for things to do in Lisbon this weekend, whether you’re alone, with your significant other, with friends, or with family.",,,,,,,,,,,,,,,
lisboa-secreta-e-leclerc-supermarket-is-closing-and-is-selling-everything-at-a-30-discount-storewide-until-march-13,e-leclerc-supermarket-is-closing-and-until-march-13-it-is-selling-everything-at-a-30-discount-storewide,"E.Leclerc supermarket is closing and until March 13, it is selling everything at a 30% discount (storewide).",,,,,Lisbon,https://lisboasecreta.co/en/e-leclerc-supermarket-is-closing-and-is-selling-everything-at-a-30-discount-storewide-until-march-13/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/09194351/DF0D89C1-7FC4-4627-AC02-F626AA523F9C.jpeg,,,,approved,lisboa_secreta,e-leclerc-supermarket-is-closing-and-is-selling-everything-at-a-30-discount-storewide-until-march-13,https://lisboasecreta.co/en/e-leclerc-supermarket-is-closing-and-is-selling-everything-at-a-30-discount-storewide-until-march-13/,ff5c2af0c23df8df0b55118f2a1aeb8453e28e69,"The E.Leclerc hypermarket in Bobadela ( Santa Iria de Azóia), in the municipality of Loures, confirmed the definitive closure of its operation (possibly",,,,,,,,,,,,,,,
lisboa-secreta-change-to-daylight-saving-time,goodbye-winter-from-this-date-onwards-you-will-sleep-one-hour-less-but-spend-more-time-in-the-sun-in-lisbon,"Goodbye, winter: from this date onwards, you will sleep one hour less, but spend more time in the sun in Lisbon.",,,,,Lisbon,https://lisboasecreta.co/en/change-to-daylight-saving-time/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/05120612/horario-de-verao-generica.jpg,,,,approved,lisboa_secreta,change-to-daylight-saving-time,https://lisboasecreta.co/en/change-to-daylight-saving-time/,1d2d385c7854a6965ce20c597fe4d81efe42041a,"The days will get longer! Find out when the time changes in Portugal, how to make the most of daylight saving time, and tips for adjusting your sleep to the loss of an hour.",,,,,,,,,,,,,,,
lisboa-secreta-parade-bagpipes-st-patricks-day-lisbon,more-than-500-bagpipers-will-invade-avenida-da-liberdade-the-biggest-st-patrick-s-day-ever-comes-to-lisbon,More than 500 bagpipers will invade Avenida da Liberdade: the biggest St. Patrick’s Day ever comes to Lisbon,,,,,Lisbon,https://lisboasecreta.co/en/parade-bagpipes-st-patricks-day-lisbon/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/13095029/desfile-de-st.-patricks-em-lisboa-%40desfilesaopatriciolisboa-_3.jpg,,,,approved,lisboa_secreta,parade-bagpipes-st-patricks-day-lisbon,https://lisboasecreta.co/en/parade-bagpipes-st-patricks-day-lisbon/,9a52c1425558e6c0df78a1071392c57cc803ea91,"The 3rd edition of the Irish festival has grown and now lasts three days, with downtown Lisbon hosting 15 bands, a big concert in Rossio, and a Guinness panoramic bus leading the parade.",,,,,,,,,,,,,,,
lisboa-secreta-music-concerts-in-lisbon,music-guide-the-best-concerts-already-confirmed-for-2026,Music Guide: The Best Concerts Already Confirmed for 2026,,,,,Lisbon,https://lisboasecreta.co/en/music-concerts-in-lisbon/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2022/02/08092637/Estu%CC%81dio-Time-Out-recebe-concertos-tributo-a-Queen-e-Pearl-Jam-%40spencer-davis.jpg,,,,approved,lisboa_secreta,music-concerts-in-lisbon,https://lisboasecreta.co/en/music-concerts-in-lisbon/,95524b144477904657b897a12f5728697a1de69a,The year 2026 will bring some of your favorite bands and artists to Lisbon. These are the music concerts in Lisbon that have already been confirmed!,,,,,,,,,,,,,,,
lisboa-secreta-nos-alive-2026-music-festival,all-confirmations-for-nos-alive-2026-so-far,All confirmations for NOS Alive 2026 (so far),,,,,Lisbon,https://lisboasecreta.co/en/nos-alive-2026-music-festival/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2023/11/15135755/pessoas-no-festival-de-musica-nos-alive-%40nos_alive-_1.jpg,,,,approved,lisboa_secreta,nos-alive-2026-music-festival,https://lisboasecreta.co/en/nos-alive-2026-music-festival/,69f8cf93f5f57f31d4eb5c7788e9a367f4815b84,"The festival returns to the Algés Promenade with a lineup that blends rock legends, electronic sounds, and major international voices.",,,,,,,,,,,,,,,
lisboa-secreta-inigo-quintero-concert-in-lisbon,inigo-quintero-the-global-phenomenon-behind-si-no-estas-comes-to-lisbon-the-galician-star-will-perform-in-the-capital-later-this-month,"Iñigo Quintero, the global phenomenon behind “Si No Estás,” comes to Lisbon: the Galician star will perform in the capital later this month.",,,,,Lisbon,https://lisboasecreta.co/en/inigo-quintero-concert-in-lisbon/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/12205125/inigo-quintero.jpg,,,,approved,lisboa_secreta,inigo-quintero-concert-in-lisbon,https://lisboasecreta.co/en/inigo-quintero-concert-in-lisbon/,5edf38eb12f82ddba34ac9bbf1cad3fff9d25a72,"Iñigo Quintero brings the ""Si No Estás"" phenomenon to Lisbon! Find out everything about the concert at LAV, ticket prices, and what to expect from the Galician star.",,,,,,,,,,,,,,,
lisboa-secreta-monstra-lisbon-animation-festival,lisbon-s-most-famous-animation-festival-is-back-the-25th-edition-of-monstra-brings-around-500-films-and-more-than-120-screenings-to-the-capital,Lisbon’s most famous animation festival is back: the 25th edition of MONSTRA brings around 500 films and more than 120 screenings to the capital.,,,,,Lisbon,https://lisboasecreta.co/en/monstra-lisbon-animation-festival/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/12160921/festival-monstra.jpg,,,,approved,lisboa_secreta,monstra-lisbon-animation-festival,https://lisboasecreta.co/en/monstra-lisbon-animation-festival/,ce55872dc307eca41b42477274fb43ecb95c8026,"Lisbon comes alive in March! Discover the highlights of the 25th edition of MONSTRA, with 500 animated films, and enjoy the best cultural suggestions in the capital.",,,,,,,,,,,,,,,
lisboa-secreta-party-program-first-anniversary-macam-lisbon,this-art-museum-in-lisbon-is-celebrating-its-first-anniversary-with-free-admission-music-and-a-rare-work-by-almada-negreiros,"This art museum in Lisbon is celebrating its first anniversary with free admission, music, and a rare work by Almada Negreiros.",,,,,Lisbon,https://lisboasecreta.co/en/party-program-first-anniversary-macam-lisbon/,https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/12142246/macam-aniversario.jpg,,,,approved,lisboa_secreta,party-program-first-anniversary-macam-lisbon,https://lisboasecreta.co/en/party-program-first-anniversary-macam-lisbon/,0b7df86deda4ee237c8d23a886c9fe34b75c8fc5,"MACAM celebrates one year with free admission! On March 21 and 22, Lisbon welcomes guided tours, music, and the historic reunification of Almada Negreiros' panels. Find out the details in the article!",,,,,,,,,,,,,,,
