"slug","canonical_key","title","starts_at","ends_at","location_name","address","city","url","image_url","category","audience","price","status","source","source_id","source_url","dedupe_key","description","tags","accessibility","raw_categories","raw_target_audience","raw_accessibility","latitude","longitude","venue_url","venue_contact","venue_extra_info","venue_schedule","venue_category","venue_district","venue_accessibility","venue_tags","rescue_reason"
"lisboa-secreta-parade-bagpipes-st-patricks-day-lisbon","more-than-500-bagpipers-will-invade-avenida-da-liberdade-the-biggest-st-patrick-s-day-ever-comes-to-lisbon","More than 500 bagpipers will invade Avenida da Liberdade: the biggest St. Patrick’s Day ever comes to Lisbon","","","","","Lisbon","https://lisboasecreta.co/en/parade-bagpipes-st-patricks-day-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/13095029/desfile-de-st.-patricks-em-lisboa-%40desfilesaopatriciolisboa-_3.jpg","","","","approved","lisboa_secreta","parade-bagpipes-st-patricks-day-lisbon","https://lisboasecreta.co/en/parade-bagpipes-st-patricks-day-lisbon/","9a52c1425558e6c0df78a1071392c57cc803ea91","The 3rd edition of the Irish festival has grown and now lasts three days, with downtown Lisbon hosting 15 bands, a big concert in Rossio, and a Guinness panoramic bus leading the parade.","","","","","","","","","","","","","","","","missing_starts_at"
"lisboa-secreta-lisbon-coffee-week-2026-en","with-over-30-activities-and-latte-art-workshops-the-country-s-largest-coffee-festival-is-coming-to-lisbon","With over 30 activities and latte art workshops, the country’s largest coffee festival is coming to Lisbon.","","","","","Lisbon","https://lisboasecreta.co/en/lisbon-coffee-week-2026-en/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/10170537/Lisbon-Coffee-Week-%C2%A9-DR-_2.jpg","","","","approved","lisboa_secreta","lisbon-coffee-week-2026-en","https://lisboasecreta.co/en/lisbon-coffee-week-2026-en/","8f1be525e175227916f2877a0c66becfa3342fcc","With unlimited coffee tastings, Coffee Week will ""flood"" Lisbon with the aroma of this precious bean: tickets are already on sale starting at €10.","","","","","","","","","","","","","","","","missing_starts_at"
"lisboa-secreta-franui-easter-eggs-lotus-natelier","franui-and-lotus-easter-eggs-nat-elier-combined-everything-into-a-pastel-de-nata-and-this-was-the-result","Franuí and Lotus Easter Eggs? Nat’elier combined everything into a pastel de nata, and this was the result","","","","","Lisbon","https://lisboasecreta.co/en/franui-easter-eggs-lotus-natelier/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/13181754/Natelier_Ovo-de-Pascoa-Franui-e-Ovo-de-Pascoa-Lotus.jpg","","","","approved","lisboa_secreta","franui-easter-eggs-lotus-natelier","https://lisboasecreta.co/en/franui-easter-eggs-lotus-natelier/","23ffe38e00c74f256ea574d569b163975b65cbce","Chef João Batalha has done it again, transforming the traditional Portuguese pastry into two Easter eggs with different flavors. Shall we take a look?","","","","","","","","","","","","","","","","missing_starts_at"
"lisboa-secreta-inigo-quintero-concert-in-lisbon","inigo-quintero-the-global-phenomenon-behind-si-no-estas-comes-to-lisbon-the-galician-star-will-perform-in-the-capital-later-this-month","Iñigo Quintero, the global phenomenon behind “Si No Estás,” comes to Lisbon: the Galician star will perform in the capital later this month.","","","","","Lisbon","https://lisboasecreta.co/en/inigo-quintero-concert-in-lisbon/","https://offloadmedia.feverup.com/lisboasecreta.co/wp-content/uploads/2026/03/12205125/inigo-quintero.jpg","","","","approved","lisboa_secreta","inigo-quintero-concert-in-lisbon","https://lisboasecreta.co/en/inigo-quintero-concert-in-lisbon/","5edf38eb12f82ddba34ac9bbf1cad3fff9d25a72","Iñigo Quintero brings the ""Si No Estás"" phenomenon to Lisbon! Find out everything about the concert at LAV, ticket prices, and what to expect from the Galician star.","","","","","","","","","","","","","","","","missing_starts_at"
"laaf-lisbon-art-antiques-fair-2","laaf-lisbon-art-and-antiques-fair-26","LAAF - Lisbon Art & Antiques Fair'26","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6Mjk3NTgsInB1ciI6ImJsb2JfaWQifX0=--de7dba3cd5b103126a1b9411678404551f998b97/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/2025-LAAF-x-sem-data.jpg","Exhibitions","","","approved","visitlisboa","en/events/laaf-lisbon-art-antiques-fair-2","https://www.visitlisboa.com/en/events","7380cb1abee51c2cf5fc124d896082889623b80e","","","","","","","","","","","","","","","","","missing_starts_at"
"octopus-festival-ericeira","octopus-festival-ericeira","Octopus Festival | Ericeira","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzY2NDcsInB1ciI6ImJsb2JfaWQifX0=--29aeb793c9de6941c058a7df4a8bc810e5062d95/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/gen-visit-lisboa-festival-do-polvo.jpg","Others","","","approved","visitlisboa","en/events/octopus-festival-ericeira","https://www.visitlisboa.com/en/events","8ec516d501be1da5153e7144a6ab97300c02c394","","","","","","","","","","","","","","","","","missing_starts_at"
"kulturfest-festival-of-german-expression-cultures-l","kulturfest-festival-of-german-expression-cultures-l","KULTURfest - Festival of German Expression Cultures l","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6Mjk5NjUsInB1ciI6ImJsb2JfaWQifX0=--c0b1e58de8859b0a61e6fad701e9d4bc90d27ca9/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/Gen25_festival-kulturfest.jpg","May 2026 (to be confirmed)","","","approved","visitlisboa","en/events/kulturfest-festival-of-german-expression-cultures-l","https://www.visitlisboa.com/en/events","cac2fe1560d90aad818323a6fb7862b38dc5bffc","","","","","","","","","","","","","","","","","missing_starts_at"
"jardins-abertos","open-gardens","Open Gardens","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6Mjk1NzMsInB1ciI6ImJsb2JfaWQifX0=--273e44a484b5e6d686da909cb76e2d85a6fd8867/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/Jardins-abertos-25-2.jpg","Exhibitions","","Free Entry","approved","visitlisboa","en/events/jardins-abertos","https://www.visitlisboa.com/en/events","8b1bf67895d000241109056293381353dc701afa","","","","","","","","","","","","","","","","","missing_starts_at"
"trezena-to-saint-anthony","trezena-to-saint-anthony","Trezena to Saint Anthony","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzA1MjQsInB1ciI6ImJsb2JfaWQifX0=--5f532375d8bcbdc27267b36a7114e7a0682363fb/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/trezena.jpg","Music","","Free Entry","approved","visitlisboa","en/events/trezena-to-saint-anthony","https://www.visitlisboa.com/en/events","213be2f18a7864847652d3f56ac24af4c70eea7b","","","","","","","","","","","","","","","","","missing_starts_at"
"cineconchas","cineconchas-26","CineConchas'26","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzEyMzUsInB1ciI6ImJsb2JfaWQifX0=--cf671365eb77ad3491a88c9eb6320de90f55afe3/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/Cine-Conchas.jpg","Cinema","","Free Entry","approved","visitlisboa","en/events/cineconchas_","https://www.visitlisboa.com/en/events","ac559283cb1a4f76b148aa77a4f38a4ef4dd3279","","","","","","","","","","","","","","","","","missing_starts_at"
"popular-marches-meo-arena","popular-marches-meo-arena","Popular Marches | MEO Arena","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzAzMTEsInB1ciI6ImJsb2JfaWQifX0=--e20f6312798241fa0257c99753eefbc7e6905aea/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/Marchas-MEO.jpg","Others","","","approved","visitlisboa","en/events/popular-marches-meo-arena","https://www.visitlisboa.com/en/events","b5165616b7b833b0dc84ec681adb0dc7e12d8f48","","","","","","","","","","","","","","","","","missing_starts_at"
"lisbon-festivities-1","lisbon-festivities","Lisbon Festivities","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzAzNjQsInB1ciI6ImJsb2JfaWQifX0=--f1e1d3a048ec1a5b8e363ee67a384033f2f42682/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/%23GEN_25_HP.jpg","Main Events","","Free Entry","approved","visitlisboa","en/events/lisbon-festivities-1","https://www.visitlisboa.com/en/events","b742486cbe91d8222a32d39e11ea33dbbc48e137","","","","","","","","","","","","","","","","","missing_starts_at"
"arraiais-populares-lisboa-on-the-street","arraiais-populares","Arraiais Populares","","","","","Lisbon","https://www.visitlisboa.com/en/events","https://www.visitlisboa.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MzAzMjMsInB1ciI6ImJsb2JfaWQifX0=--ad71b657f3add8d83778c7f91b8b9470cda465f6/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemUiOiI1MTJ4NTEyXHUwMDNlIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--0ba8b7f58340100b312280e63751a8a851d1f9fb/Arraias-populares.jpg","Others","","Free Entry","approved","visitlisboa","en/events/arraiais-populares-lisboa-on-the-street","https://www.visitlisboa.com/en/events","8864a19ba6e272b4451bca0b296ca116822482c1","","","","","","","","","","","","","","","","","missing_starts_at"
